"","State","county","fips","pred","with_without"
"3349","Indiana","Jennings County",18079,-22.8746105181021,"without"
"3350","Indiana","Johnson County",18081,-22.1445523194224,"without"
"3351","Indiana","Knox County",18083,-20.5578936119659,"without"
"3352","Indiana","Kosciusko County",18085,-22.7670276946051,"without"
"3353","Indiana","Lagrange County",18087,-25.2348021625534,"without"
"3354","Indiana","Lake County",18089,-23.5299137334364,"without"
"3355","Indiana","La Porte County",18091,-21.885906782494,"without"
"3356","Indiana","Lawrence County",18093,-22.9642762904077,"without"
"3357","Indiana","Madison County",18095,-22.5579753664514,"without"
"3358","Indiana","Marion County",18097,-23.0367993737799,"without"
"3359","Indiana","Marshall County",18099,-24.1730899739997,"without"
"3360","Indiana","Martin County",18101,-22.0417348329794,"without"
"3361","Indiana","Miami County",18103,-22.3727102955811,"without"
"3362","Indiana","Monroe County",18105,-16.3711626176167,"without"
"3363","Indiana","Montgomery County",18107,-23.0401386999183,"without"
"3364","Indiana","Morgan County",18109,-23.2202130445551,"without"
"3365","Indiana","Newton County",18111,-22.999147366877,"without"
"3366","Indiana","Noble County",18113,-22.7389622009079,"without"
"3367","Indiana","Ohio County",18115,-15.0730151043623,"without"
"3368","Indiana","Orange County",18117,-17.080933089623,"without"
"3369","Indiana","Owen County",18119,-21.1560070474002,"without"
"3370","Indiana","Parke County",18121,-20.7994556010881,"without"
"3371","Indiana","Perry County",18123,-20.0665401050677,"without"
"3372","Indiana","Pike County",18125,-20.3205085415934,"without"
"3373","Indiana","Porter County",18127,-23.1325692553311,"without"
"3374","Indiana","Posey County",18129,-21.8511624998389,"without"
"3375","Indiana","Pulaski County",18131,-21.5179567305316,"without"
"3376","Indiana","Putnam County",18133,-20.8206671179543,"without"
"3377","Indiana","Randolph County",18135,-22.3357228020111,"without"
"3378","Indiana","Ripley County",18137,-21.4393755636098,"without"
"3379","Indiana","Rush County",18139,-22.5390142761256,"without"
"3380","Indiana","St Joseph County",18141,-23.0672544592192,"without"
"3381","Indiana","Scott County",18143,-23.756595519571,"without"
"3382","Indiana","Shelby County",18145,-23.2493580878931,"without"
"3383","Indiana","Spencer County",18147,-20.3878615353741,"without"
"3384","Indiana","Starke County",18149,-22.288133125579,"without"
"3385","Indiana","Steuben County",18151,-20.4991649586152,"without"
"3386","Indiana","Sullivan County",18153,-20.7707042518282,"without"
"3387","Indiana","Switzerland County",18155,-18.7835285969203,"without"
"3388","Indiana","Tippecanoe County",18157,-17.810831930493,"without"
"3389","Indiana","Tipton County",18159,-20.3859043075726,"without"
"3390","Indiana","Union County",18161,NA,"without"
"3391","Indiana","Vanderburgh County",18163,-22.2197308083882,"without"
"3392","Indiana","Vermillion County",18165,-21.3327209510529,"without"
"3393","Indiana","Vigo County",18167,-19.3259834700094,"without"
"3394","Indiana","Wabash County",18169,-21.3718525467857,"without"
"3395","Indiana","Warren County",18171,NA,"without"
"3396","Indiana","Warrick County",18173,-23.5622819176018,"without"
"3397","Indiana","Washington County",18175,-23.4371698571043,"without"
"3398","Indiana","Wayne County",18177,-21.5995284549708,"without"
"3399","Indiana","Wells County",18179,-20.5491278493708,"without"
"3400","Indiana","White County",18181,-22.6308746847729,"without"
"3401","Indiana","Whitley County",18183,-23.0413155427468,"without"
"3402","Iowa","Adair County",19001,-29.7079004858771,"without"
"3403","Iowa","Adams County",19003,NA,"without"
"3404","Iowa","Allamakee County",19005,-23.0628611481155,"without"
"3405","Iowa","Appanoose County",19007,-20.6995303671587,"without"
"3406","Iowa","Audubon County",19009,NA,"without"
"3407","Iowa","Benton County",19011,-23.4979228962064,"without"
"3408","Iowa","Black Hawk County",19013,-26.2432709625183,"without"
"3409","Iowa","Boone County",19015,-23.0247030104289,"without"
"3410","Iowa","Bremer County",19017,-25.5656474544422,"without"
"3411","Iowa","Buchanan County",19019,-23.4152461198864,"without"
"3412","Iowa","Buena Vista County",19021,-21.7127834447465,"without"
"3413","Iowa","Butler County",19023,-20.4088426062039,"without"
"3414","Iowa","Calhoun County",19025,NA,"without"
"3415","Iowa","Carroll County",19027,-19.8248668105349,"without"
"3416","Iowa","Cass County",19029,-20.7008305040384,"without"
"3417","Iowa","Cedar County",19031,-24.2319155183567,"without"
"3418","Iowa","Cerro Gordo County",19033,-23.1601563654986,"without"
"3419","Iowa","Cherokee County",19035,NA,"without"
"3420","Iowa","Chickasaw County",19037,-22.3047379675553,"without"
"3421","Iowa","Clarke County",19039,-21.7127834447465,"without"
"3422","Iowa","Clay County",19041,-22.0127500697208,"without"
"3423","Iowa","Clayton County",19043,-22.6213722529188,"without"
"3424","Iowa","Clinton County",19045,-25.3424419985714,"without"
"3425","Iowa","Crawford County",19047,-22.5987121762979,"without"
"3426","Iowa","Dallas County",19049,-23.5929804619826,"without"
"3427","Iowa","Davis County",19051,NA,"without"
"3428","Iowa","Decatur County",19053,NA,"without"
"3429","Iowa","Delaware County",19055,-21.7127834447465,"without"
"3430","Iowa","Des Moines County",19057,-24.2617066158996,"without"
"3431","Iowa","Dickinson County",19059,-20.4088426062039,"without"
"3432","Iowa","Dubuque County",19061,-24.0251259035877,"without"
"3433","Iowa","Emmet County",19063,NA,"without"
"3434","Iowa","Fayette County",19065,-22.5303245244527,"without"
"3435","Iowa","Floyd County",19067,NA,"without"
"3436","Iowa","Franklin County",19069,-20.7008305040384,"without"
"3437","Iowa","Fremont County",19071,NA,"without"
"3438","Iowa","Greene County",19073,-22.2474146615716,"without"
"3439","Iowa","Grundy County",19075,-23.0505124677724,"without"
"3440","Iowa","Guthrie County",19077,-22.4327484876201,"without"
"3441","Iowa","Hamilton County",19079,-21.7127834447465,"without"
"3442","Iowa","Hancock County",19081,-21.0791991864795,"without"
"3443","Iowa","Hardin County",19083,-22.0127500697208,"without"
"3444","Iowa","Harrison County",19085,-22.6846223466387,"without"
"3445","Iowa","Henry County",19087,-24.0857444318953,"without"
"3446","Iowa","Howard County",19089,NA,"without"
"3447","Iowa","Humboldt County",19091,NA,"without"
"3448","Iowa","Ida County",19093,NA,"without"
"3449","Iowa","Iowa County",19095,-23.683577068143,"without"
"3450","Iowa","Jackson County",19097,-22.7585245699379,"without"
"3451","Iowa","Jasper County",19099,-25.0054439677844,"without"
"3452","Iowa","Jefferson County",19101,-23.3166909082634,"without"
"3453","Iowa","Johnson County",19103,-23.01799512883,"without"
"3454","Iowa","Jones County",19105,-23.9576508571715,"without"
"3455","Iowa","Keokuk County",19107,-22.0127500697208,"without"
"3456","Iowa","Kossuth County",19109,-20.1168547083694,"without"
"3457","Iowa","Lee County",19111,-22.3047379675553,"without"
"3458","Iowa","Linn County",19113,-25.3231332110743,"without"
"3459","Iowa","Louisa County",19115,-27.82714653696,"without"
"3460","Iowa","Lucas County",19117,NA,"without"
"3461","Iowa","Lyon County",19119,NA,"without"
"3462","Iowa","Madison County",19121,-21.5867592355898,"without"
"3463","Iowa","Mahaska County",19123,-22.8163200060556,"without"
"3464","Iowa","Marion County",19125,-23.0505124677724,"without"
"3465","Iowa","Marshall County",19127,-27.3251647398075,"without"
"3466","Iowa","Mills County",19129,-21.7127834447465,"without"
"3467","Iowa","Mitchell County",19131,-21.2184049587704,"without"
"3468","Iowa","Monona County",19133,-22.7798172824447,"without"
"3469","Iowa","Monroe County",19135,NA,"without"
"3470","Iowa","Montgomery County",19137,-20.4088426062039,"without"
"3471","Iowa","Muscatine County",19139,-25.6794246668473,"without"
"3472","Iowa","Obrien County",19141,-22.3047379675553,"without"
"3473","Iowa","Osceola County",19143,NA,"without"
"3474","Iowa","Page County",19145,-22.2303578994785,"without"
"3475","Iowa","Palo Alto County",19147,NA,"without"
"3476","Iowa","Plymouth County",19149,-23.7366893261627,"without"
"3477","Iowa","Pocahontas County",19151,NA,"without"
"3478","Iowa","Polk County",19153,-24.6117436970096,"without"
"3479","Iowa","Pottawattamie County",19155,-22.535938060861,"without"
"3480","Iowa","Poweshiek County",19157,-22.5927796386223,"without"
"3481","Iowa","Ringgold County",19159,NA,"without"
"3482","Iowa","Sac County",19161,NA,"without"
"3483","Iowa","Scott County",19163,-25.5281503667956,"without"
"3484","Iowa","Shelby County",19165,-23.2958760405342,"without"
"3485","Iowa","Sioux County",19167,-22.5529846010737,"without"
"3486","Iowa","Story County",19169,-23.8832707890948,"without"
"3487","Iowa","Tama County",19171,-25.4727866525578,"without"
"3488","Iowa","Taylor County",19173,7.53521363163781,"without"
